"title","director","release_year","runtime","subtitle","description","genres","female_protagonist","lgbtq_protagonist","white_protagonist","political/social_or_moral_topic","experimental","cast","watched","avg_rating","X0.5","X1","X1.5","X2","X2.5","X3","X3.5","X4","X4.5","X5","fans","liked","total_ratings","polarization"
"Time for Revenge","Adolfo Aristarain",1981,112,"An honest man is something very dangerous nowadays.","Two coworkers decide to blackmail the corrupt demolition company they work for by setting up a fake accident.","Thriller---Drama---Crime","No","Unknown","Yes","Corporate corruption and workers' rights","No","Federico Luppi---Julio De Grazia---Ulises Dumont---Jofre Soares---Aldo Barbero---Enrique Liporace---Arturo Maly---Rodolfo Ranni---Jorge Hacker---Alberto Benegas---Ingrid Pelicori---Jorge Chernov---Cayetano Biondo---Marcos Woinsky---Haydée Padilla---Lidia Catalano---Carlos Trigo---Aldo Pastur---Enrique Latorre---Jorge Velurtas---Felipe Méndez---Héctor Calori---Carlos Verón---Osvaldo De la Vega---Enrique Otranto---Cristina Aroca---Miguel Angel Llobet---Alejandro Arando",7853,4.1,1,11,12,30,71,320,556,1770,1161,2024,133,3174,5956,1.52962209136497
"My Old Ass","Megan Park",2024,89,"What would you ask your older self?","An 18th birthday mushroom trip brings free-spirited Elliott face-to-face with her wisecracking 39-year-old self. But when Elliott’s “old ass” starts handing out warnings about what her younger self should and shouldn’t do, Elliott realizes she has to rethink everything about family, love, and what’s becoming a transformative summer.","Comedy---Drama","Yes","Yes","Yes","Coming-of-age, self-identity, family, love","No","Maisy Stella---Aubrey Plaza---Percy Hynes White---Maddie Ziegler---Kerrice Brooks---Maria Dizzia---Alain Goulem---Seth Isaac Johnson---Carter Trozzolo---Alexandria Rivera",334007,3.5,1525,2855,2802,10359,15493,49732,63164,81657,25578,33824,2000,104163,286989,1.85838794010109
"Double Platinum","Robert Allan Ackerman",1999,94,"Love is all that matters.","The story of a mother driven to reach the heights of superstardom at the cost of abandoning her only child.","TV Movie---Music---Drama","Yes","No","No","Family abandonment and reconciliation","No","Diana Ross---Brandy Norwood---Christine Ebersole---Allen Payne---Brian Stokes Mitchell---Roger Rees---Samantha Brown---Ed Lover---Peter Francis James---Harvey Fierstein---Marie Lillo---Lou Carbonneau---Adriane Lenox---John Di Benedetto---Jacinto Taras Riddick---Ron Cephas Jones---Bernard Addison---Lisa Renee Pitts---Terry Alexander---Moss Porter---Sam Jaeger---Michael Thomas Holmes---Aleta Davies---Anne James---Michael Raye---Johnny Kirkpatrick---Joe Matarese---Norman Douglass---Adesola A. Osakalumi---Lori Werner---Stacy Walker---Darrin Henson---Eric Jenkins---Travis Payne",634,3.2,6,10,12,37,61,103,51,42,10,36,3,156,368,2.00895955294059
"Manmadhan Ambu","K. S. Ravikumar",2010,168,"","Madhan is convinced that Ambu is unfaithful and refuses to pay detective Mannar when he reports otherwise. Wanting to make money to help a friend, Mannar cooks up stories about Ambu’s infidelity.","Comedy---Drama","Yes","No","No","No","No","Kamal Haasan---R. Madhavan---Trisha Krishnan---Urvashi---Sangeetha Krish---Oviya Helen---Ramesh Aravind---Kunchan---Manju Pillai---Usha Uthup---Sriman---Suriya---K. S. Ravikumar---Devi Sri Prasad---Caroline Furioli",2800,3.2,21,37,40,198,235,452,297,173,36,77,4,450,1566,1.93827507728522
"Nigger","Stig Larsson",1990,84,"","Nigger is a dark comedy about a young couple who are going to be parents. When the child comes, there’s a surprise.","Comedy---TV Movie","Yes","Unknown","Yes","Parenthood and surprise related to child","No","Kristina Törnqvist---Mikael Persbrandt---Lena Nilsson---Kim Kuusisto---Sten Johan Hedman---Lena-Pia Bernhardsson---Tomas Gebeyehu",344,3.6,28,12,2,8,4,7,6,5,6,193,27,90,271,1.15357088391905
"Not Another Teen Movie","Joel Gallen",2001,89,"They served you Breakfast. They gave you Pie. Now we’re gonna stuff your face.","On a bet, a gridiron hero at John Hughes High School sets out to turn a bespectacled plain Jane into a beautiful and popular prom queen in this outrageous send-up of the teen movies of the 1980s and ’90s.","","No","No","Yes","No","No","Chyler Leigh---Chris Evans---Jaime Pressly---Eric Christian Olsen---Mia Kirshner---Deon Richmond---Eric Jungmann---Ron Lester---Cody McMains---Sam Huntington---JoAnna Garcia Swisher---Lacey Chabert---Samm Levine---Cerina Vincent---Beverly Polcyn---Ed Lauter---Paul Gleason---Mr. T---Molly Ringwald---Randy Quaid---Samaire Armstrong---Nectar Rose---Riley Smith---Nathan West---Michelle Holgate---Jeanette Miller---Michael Ensign---Benjamin Waldow---Josh Radnor---Ross Mulholland---Dean Sheremet---Becca Sweitzer---Hayley Zelniker---Lukas Behnken---Josh Jacobson---Amber Goetz---Joy Bisco---Morisa Taylor Kaplan---George Wyner---Ned Brower---Peter Simon---Joy Gohring---Tracy Kay---Jessica Asher---Sean Smith---Heather Brown---Ean Mering---Lyman Ward---Julie Welch---Daniel Bess---Jackie Harris Greenberg---James Read---Rob Benedict---Banks McClintock---Jay Johnston---Jesse Capelli---Daniel Spink---Osgood Perkins---Kyle Cease---Jim Wise---Kimi Bateman---Staci B. Flood---Sarah Christine Smith---China Shavers---H. Jon Benjamin---Paul Goebel---Joel Madden---Benji Madden---Billy Martin---Marissa Fedele---Samuel Givens---Kimberly Lyon---Zachary Woodlee---Alec Murdock---Cynthena Sanders---Will Gill Jr.---Nick Zephyrin---Kelly S. King---Sean Patrick Thomas---Desi Lydic---Nick Bakay---Arturo Elizondo---Susan Anne Wall---Scott Hislop---Tracey McCall---Maylen Calienes---Jeremiah Vaughn---Heidi Androl---Sam Ayers---Gena Shaw---Jarrett Lennon---Candice T. Cain---Melissa Joan Hart---Tessa---Cassie Townsend---Ian Aronson---David M. Francis---Jennifer Schlueter---Marcus Edward",322619,2.8,5061,10286,9147,25121,24872,45730,24863,22577,4668,11140,502,49114,183465,2.09171402702675
"The Inside Story","Allan Dwan",1948,87,"THE INSIDE STORY Of Your Family…Every Man’s Family","A collection agent arrives in a small town with $1000 for a local farmer. Whilst waiting for the farmer to arrive the money is put in a safe at a hotel for safe keeping. However, it is removed by mistake and solves a number of financial problems before it is returned.","Drama---Comedy---Romance","Yes","Unknown","Yes","Economic hardship and money circulation during the Great Depression","No","Marsha Hunt---William Lundigan---Charles Winninger---Gail Patrick---Gene Lockhart---Florence Bates---Allen Jenkins---Will Wright---Roscoe Karns---Robert Shayne---Hobart Cavanaugh---William Haade---Frank Ferguson---Tom Fadden",432,3.4,2,0,4,8,30,63,90,55,7,9,NA,95,268,1.69022951368812
"Legend of the Fist: The Return of Chen Zhen","Andrew Lau",2010,105,"","The Japanese forces occupy Shanghai and slowly start spreading terror in the city. Chen Zhen, who was presumed dead, returns to fight against the Japanese and put an end to their tyrannical rule.","Thriller---Action---Drama---History","No","No","No","Anti-Japanese resistance and Chinese nationalism","No","Donnie Yen---Shu Qi---Huang Bo---Anthony Wong---Yasuaki Kurata---Shawn Yue Man-Lok---Ryu Kohata---Huo Siyan---Zhou Yang---Akira---Ma Yue---Karl Dominick---Jiajia Chen---Alex Ahlstrom---Yale Varty---Shi Feng---Minowa Yasufumi---Tony Ho---Miao Chi---Shi Feng---Kenji Tanigaki",5817,3,21,93,137,464,615,1238,618,344,54,89,1,708,3673,1.84626386961205
"Double Jeopardy","Bruce Beresford",1999,105,"Murder isn’t always a crime.","Libby Parsons, wrongly convicted for her husband Nick’s murder, thinks he is still alive and wants to settle the score and find their son. As she has been tried for the crime, she cannot be re-prosecuted if she finds and kills Nick.","Drama---Mystery---Thriller","Yes","No","Yes","Double jeopardy legal principle","No","Ashley Judd---Tommy Lee Jones---Bruce Greenwood---Annabeth Gish---Benjamin Weir---Jay Brazeau---Roma Maffia---Davenia McFadden---Gillian Barber---Michael Gaston---John Maclaren---Ed Evanko---Bruce Campbell---Brennan Elliott---Angela Schneider---Tom McBeath---David Jacox---Betsy Brantley---Woody Jeffreys---French Tickner---Maria Bitamba---Ben Bode---Robin J. Kelley---Dana Still---Gabrielle Rose---Daniel Lapaine---Maria Herrera---Babs Chula---Enuka Okuma---Peter Kimmerly---George Gordon---David Fredericks---Anna Hagan---Fulvio Cecere---Tracy Vilar---Addison Ridge---Crystal Verge---Joy Coghill---Bernard Cuffling---Barth C. Phillips---Jerome Alexander---Reginald Ringo---George Hunter---Ingrid Torrance---Roger Cross---Pamela Perry---Tim McDermott---Keegan Connor Tracy---Dave Hager---Jason Douglas---Jeannie Grelier Church---Austin B. Church---Mykel Shannon Jenkins---Joe Simon---Charlie Detraz---Susan LeCourt-Barbe---Ramona Tyler---C. Barrett Downing---Michelle Stafford---Greg DiLeo---Lance Spellerberg---George Touliatos---Deryl Hayes---Brent Woolsey---Eliza Norbury---Roland Bob Harris---George Montgomery II---Lossen Chambers---Harold Evans---Thomas M. Mathews---Gordon Starling Jr.---Spencer Treat Clark---Rondel Reynoldson---Nicolas Roye---John Kapelos---Desmond Campbell",85636,3.2,155,637,1094,4614,6828,16313,9435,7336,1336,2719,189,12741,50467,1.8577653502794
"Repeat Performance","Alfred L. Werker",1947,91,"Time stopped in its tracks… when she pulled the trigger!","On New Year’s Eve 1946, Sheila Page kills her husband Barney. She wishes that she could relive 1946 and avoid the mistakes that she made throughout the year. Her wish comes true but cheating fate proves more difficult than she anticipated.","Fantasy---Crime---Drama","Yes","No","Yes","Fate and consequences of choices","No","Louis Hayward---Joan Leslie---Virginia Field---Tom Conway---Richard Basehart---Natalie Schafer---Benay Venuta---Ilka Grüning---John Ireland---Jean Del Val---John Dutriz---Patrick Hurst---Raymond Largay---Michael Markham---Tim Murdock---Mildred Sellers---Lory Leeman---Wilbur Mack---Eric Wilton---Ralph Brooks---Mike Lally---Gale Ronn---Dick Gordon---Bud Townsend---Valerie Traxler---Alf Haugan---Keefe Brasselle---Abe Dinovitch---Leyland Hodgson---Philip Morris---Mack Williams---John Alban---Ann Roberts",4595,3.3,4,9,24,160,333,1073,887,607,83,80,3,1112,3260,1.65896791217817
