id,title,release_date,overview,vote_average,vote_count,popularity,original_language,adult
390795,Frat House,1979-03-22,The guys in the 'I Phelta Thi' fraternity want to live out all their fantasies before they graduate.,4.818,11,0.0,en,True
551148,Fucking Pissed Off 2,2018-02-12,"The boys from Staxus want to cum out and play – again! And, as is so very often the case, they’re in the mood for something a little bit wild and a little bit wet. Vanilla, it seems, just isn’t their color; as this bunch of over-horny beauts abandon all self-respect and proceed to suck, fuck, spunk and piss on each other like the wild animals they are! Studio favorites, Titus Snow and Charlie Keller, lead the charge; together with new boys Lior Hod and Jayden Scott, who gets a double-dicking debut! So grab hold of your cocks, guys. It’s gonna get filthy and it’s gonna get messy – and believe us, you’re gonna fucking love it!",10.0,1,0.0,cs,True
587237,Blood on the Asphalt,1992-12-14,"Abul Hassan is a clerk in the Ministry of Justice who lives with his three sons: Dr. He praises a prestigious center in an international organization abroad. Walaa works in a hotel, but the children are shocked once that their father accused of stealing the file of one of the important issues. He returns to stand beside his innocent father and is surprised that his family has been decomposed. Loyalty has turned into a girl who hugs herself and Ala heroin, trying to identify the reasons that led the family to do so and help his cousin, researcher Siham, whom he had a relationship with love. The doctor begins to recognize the causes of the dissolution of his family one by one, prove the innocence of the father, ""Abul Hassan"" and commit suicide daughter loyalty and recognizes the son Alaa stealing the file and use heroin to imprisonment.",7.0,1,0.3456,ar,False
511342,Sex and the Silver Gays,2016-09-12,A group of older gay men get together every month and have sex parties.,4.0,3,0.1376,en,False
31300,Under the Sun of Satan,1987-08-01,"Satan tempts Father Dossignan, who is trying to save the soul of a young girl who killed one of her lovers.",6.0,128,0.6539,fr,False
63749,Swamp Shark,2011-06-25,"Open on gorgeous swamplands of the Atchafalaya Basin in the summer. Lots of beautiful teens are at the beach the weekend before Gator Fest. That night an animal smuggling deal goes wrong and a large sea creature escapes into a swampy backwoods river. At the McDaniel's ""Gator Shack"" restaurant, a local, Jackson is drunk, and gets mangled to bits. The town sheriff blames the carnage on the McDaniel's ""escaped"" pack of gators and tries hauling them off to jail. Rachel McDaniel, head of the family, claims to have seen the fin of a shark! Rachel and her family, along with the help of a mysterious stranger, Charlie, take on the Swampshark and the law to clear their names, save Rachel's kid sister Krystal and prevent the unwitting folks at the upcoming Gator Fest from being torn to shreds by a beast the likes of which no one has ever seen!",4.043,81,1.239,en,False
244358,Mother,1979-01-01,"Stole Popov's Oscar-nominated Dae depicts a group of Roma celebrating St. George's Day. The documentary doesn't contain dialogue, just footage of the festivity.",6.3,3,0.0214,mk,False
283165,Léo e Bia,2010-05-04,"Brasilia, 1973. At the height of the military dictatorship, seven friends, young as the city in which they live, dream of living in theater. Led by director Léo, the group carries out the rehearsals of a play that weaves comparisons between Jesus Christ and the cangaceiro Lampião. While political repression runs wild in the federal capital and sexual freedom is still taboo, Bia is increasingly being held prisoner by her mother's obsession, causing everyone to increasingly question the concepts and values of society.",7.8,7,0.3526,pt,False
86411,Kuchh Meetha Ho Jaye,2005-04-15,"A group of people are stranded at a small airport, when their plane experiences technical difficulties, and soon they find their lives clashing.",6.0,3,0.9136,hi,False
111463,The Shining Hour,1938-11-18,A nightclub dancer shakes the foundations of a wealthy farming family after she marries into it.,6.6,21,0.5471,en,False
416601,The Farmer's Wife,1941-04-20,"Eden Philpotts' ""provincial"" comic novel and play The Farmer's Wife was first filmed in the silent era by Alfred Hitchcock. The 1940 talkie version was directed by Leslie Arliss, son of stage star George Arliss. The story remained the same: A middle-aged widower attempts to select a wife from his rural district's eligible females (Basil Sydney). Three unsuccessful dalliances later, the farmer settles for his housekeeper, whom the audience has been rooting for all along. The Farmer's Wife is a prime example of the sort of fare that struck a proper chord with British filmgoers, but whose appeal would be lost to any other nationality.",6.0,1,0.2157,en,False
25645,Wing Chun,1994-03-24,"Martial arts expert Wing Chun battles bandits in this magical film that provides as many laughs as it does wallops. Besides horse thieves, Wing Chun must deal with the men around her who simply can't handle a strong, independent woman. Ultimately, she must dish out ""lessons"" again and again and again until the respect for her remarkable skills is finally won.",6.8,76,1.1975,cn,False
137102,Luces de Nueva York,2001-01-01,,5.0,1,0.0672,es,False
495422,Taandro,2015-11-16,"This story explores the inner world of a rebel who belongs to an ultra-leftist underground outfit that is battling the government forces. Seriously injured during an ambush, he hides out in a village, his fate dependent on the mercy of the villagers. They believe he is to blame for the death of the innocent native girl killed during the ambush. Left alone with his disturbing thoughts, he will have to dependent on the kindness of strangers, loyalty of his comrades and sheer will power to survive.",10.0,1,0.099,ne,False
287143,Something Real,2012-07-22,"A celebrity-packed short — with a musical twist — about the bar scene in West Hollywood. A first collaboration between acclaimed director Guy Shalem, 5-time Grammy-winning producer, composer, and lyricist Mervyn Warren, and Tony-award winning composer and lyricist Jeff Marx (Avenue Q).",4.0,2,0.0423,en,False
878305,Emil,2020-09-09,"Emil, 12 year old, is fascinated with Dino, his mother's young boyfriend and small time drug dealer. One night, he witnesses Dino do something that will change his entire world.",8.8,7,0.0646,hr,False
365398,Flow,2014-10-26,"Walter Mann is an actor who can make his life's dream come true: to star in his own play. However, the big moment that is about to arrive is interrupted by an internal struggle that will destabilize him emotionally.",8.0,4,0.1337,es,False
666518,Pussy Lust 2,2018-05-29,"Nothing but the tastiest of twats in every sapphic scene! Watch these girls get down, pleasing one another as only a girl can!",9.0,3,0.0,en,True
382725,Sociopathia,2015-11-19,"Introverted and peculiar, Mara spends her days fabricating props for movies. But her reclusive persona conceals an internal wrath. Terrified of being alone, Mara refuses to let her lovers leave, sadistically murdering them and keeping their corpses as living dolls. When she's hired by Kat, a fledgling producer, the two instantly hit it off. As their relationship grows more intense, Mara begins to lose her already fragile grip on reality. When her dolls begin demanding all of her attention, and Kat threatens to break her heart, Mara spirals into psychosis, leaving her no choice but to kill again.",3.886,22,0.3275,en,False
107994,Annie O,1996-03-12,"When a 15-year-old becomes the first female starter on her high school's male basketball team, her achievement is marred by the treatment she receives at the hands of her teammates, her brother and even her boyfriend.",2.5,2,0.2111,en,False
802039,Spinach Greetings,1960-11-15,The evil Sea Hag interrupts Popeye's family Christmas.,1.0,1,0.1288,en,False
919440,Hype Williams: The Videos Vol. 1,2002-01-01,"Hype's acclaim for skillfully imaginative visually intoxicating music videos, The Videos Vol. 1, features 10 videos depicting his creative approach and artistry unmatched while becoming celebrated by music aficionados and film enthusiasts.",5.0,2,0.4008,en,False
831598,Memory of Berlin,1998-11-09,"Sometimes autobiographical, sometimes observational, filmmaker John Burgan takes the viewer on a search for identity, sharing his own roots as English adoptee as well as reflecting on the torn identity of the city in which he chose to live.",6.0,1,0.0071,en,False
298941,"Der Mann, den Frauen wollen",2005-10-25,,6.0,1,0.0311,de,False
193806,Thanksgiving Prayer,1991-01-01,An indictment ballad of all the different political groups in America.,6.4,12,0.112,en,False
206075,Black Eagle of Santa Fe,1965-03-11,"When Comanches go on the warpath, settlers take refuge in Ft. Eagle Rock commanded by Capt. Jackson. Undercover agent Cliff McPherson arrives at the undermanned fort to lend advice and support. He learns that the Comanches have been stirred up by local rancher Morton who wants to take control of the oil under the Indians' reservation.",6.1,5,0.5653,de,False
713463,Unter Blinden: Das extreme Leben des Andy Holzer,2015-01-01,"Andy Holzer is an extreme mountaineer and has climbed six of the ""Seven Summits"". What distinguishes him from other professional mountaineers? He is blind. For ""Unter Blinden - The Extreme Life of Andy Holzer"" Eva Spreitzhofer embarks on a journey into a strange, unknown world for sighted people.",7.0,1,0.1101,de,False
